order_id,driver_id,customer_id,order_is_success,event_timestamp
100,50612,20986,0,2024-02-08 23:00:00+00:00
101,50129,20098,1,2024-02-08 23:00:30.242000+00:00
102,50364,20274,1,2024-02-09 00:01:00.483000+01:00
103,50804,20988,1,2024-02-08 15:01:30.725000-08:00
104,50846,20060,1,2024-02-08 23:02:00.966000+00:00
105,50068,20609,0,2024-02-08 23:02:31.208000+00:00
106,50812,20072,0,2024-02-09 00:03:01.449000+01:00
107,50102,20284,1,2024-02-08 15:03:31.691000-08:00
108,50277,20787,0,2024-02-08 23:04:01.932000+00:00
109,50331,20861,0,2024-02-08 23:04:32.174000+00:00
110,50419,20229,0,2024-02-09 00:05:02.415000+01:00
111,50348,20794,1,2024-02-08 15:05:32.657000-08:00
112,50546,20429,1,2024-02-08 23:06:02.898000+00:00
113,50790,20827,0,2024-02-08 23:06:33.140000+00:00
114,50913,20446,0,2024-02-09 00:07:03.381000+01:00
115,50349,20522,0,2024-02-08 15:07:33.623000-08:00
116,50725,20414,1,2024-02-08 23:08:03.864000+00:00
117,50251,20709,1,2024-02-08 23:08:34.106000+00:00
118,50749,20410,0,2024-02-09 00:09:04.347000+01:00
119,50116,20078,0,2024-02-08 15:09:34.589000-08:00
120,50161,20141,0,2024-02-08 23:10:04.830000+00:00
121,50974,20292,0,2024-02-08 23:10:35.072000+00:00
122,50188,20260,1,2024-02-09 00:11:05.313000+01:00
123,50066,20021,1,2024-02-08 15:11:35.555000-08:00
124,50847,20675,1,2024-02-08 23:12:05.796000+00:00
125,50632,20529,0,2024-02-08 23:12:36.038000+00:00
126,50345,20603,0,2024-02-09 00:13:06.279000+01:00
127,50672,20667,1,2024-02-08 15:13:36.521000-08:00
128,50455,20860,0,2024-02-08 23:14:06.762000+00:00
129,50366,20868,0,2024-02-08 23:14:37.004000+00:00
130,50271,20335,1,2024-02-09 00:15:07.245000+01:00
131,50099,20129,0,2024-02-08 15:15:37.487000-08:00
132,50195,20212,0,2024-02-08 23:16:07.728000+00:00
133,50826,20274,1,2024-02-08 23:16:37.970000+00:00
134,50106,20491,1,2024-02-09 00:17:08.211000+01:00
135,50559,20705,0,2024-02-08 15:17:38.453000-08:00
136,50543,20062,1,2024-02-08 23:18:08.694000+00:00
137,50028,20799,0,2024-02-08 23:18:38.936000+00:00
138,50822,20184,1,2024-02-09 00:19:09.177000+01:00
139,50643,20138,0,2024-02-08 15:19:39.419000-08:00
140,50337,20537,0,2024-02-08 23:20:09.660000+00:00
141,50630,20688,1,2024-02-08 23:20:39.902000+00:00
142,50999,20166,1,2024-02-09 00:21:10.144000+01:00
143,50685,20120,0,2024-02-08 15:21:40.385000-08:00
144,50081,20616,0,2024-02-08 23:22:10.627000+00:00
145,50810,20709,0,2024-02-08 23:22:40.868000+00:00
146,50680,20446,0,2024-02-09 00:23:11.110000+01:00
147,50367,20701,1,2024-02-08 15:23:41.351000-08:00
148,50036,20879,1,2024-02-08 23:24:11.593000+00:00
149,50183,20715,0,2024-02-08 23:24:41.834000+00:00
150,50988,20732,0,2024-02-09 00:25:12.076000+01:00
151,50166,20380,1,2024-02-08 15:25:42.317000-08:00
152,50107,20931,1,2024-02-08 23:26:12.559000+00:00
153,50816,20668,1,2024-02-08 23:26:42.800000+00:00
154,50275,20196,1,2024-02-09 00:27:13.042000+01:00
155,50117,20096,0,2024-02-08 15:27:43.283000-08:00
156,50413,20073,1,2024-02-08 23:28:13.525000+00:00
157,50452,20586,1,2024-02-08 23:28:43.766000+00:00
158,50725,20748,1,2024-02-09 00:29:14.008000+01:00
159,50334,20858,1,2024-02-08 15:29:44.249000-08:00
160,50441,20251,1,2024-02-08 23:30:14.491000+00:00
161,50432,20119,1,2024-02-08 23:30:44.732000+00:00
162,50628,20761,0,2024-02-09 00:31:14.974000+01:00
163,50655,20850,1,2024-02-08 15:31:45.215000-08:00
164,50807,20156,1,2024-02-08 23:32:15.457000+00:00
165,50562,20408,1,2024-02-08 23:32:45.698000+00:00
166,50063,20212,1,2024-02-09 00:33:15.940000+01:00
167,50063,20856,1,2024-02-08 15:33:46.181000-08:00
168,50278,20813,1,2024-02-08 23:34:16.423000+00:00
169,50832,20582,0,2024-02-08 23:34:46.664000+00:00
170,50748,20483,1,2024-02-09 00:35:16.906000+01:00
171,50440,20801,1,2024-02-08 15:35:47.147000-08:00
172,50847,20094,1,2024-02-08 23:36:17.389000+00:00
